feature,training_median,log1p,artifact_threshold
PROTOCOL,6.0,False,
L7_PROTO,7.0,False,
IN_BYTES,112.0,True,
IN_PKTS,2.0,True,
OUT_BYTES,0.0,True,
OUT_PKTS,0.0,True,
TCP_FLAGS,2.0,False,
CLIENT_TCP_FLAGS,2.0,False,
SERVER_TCP_FLAGS,0.0,False,
FLOW_DURATION_MILLISECONDS,4293077.0,False,
DURATION_IN,23.0,True,
DURATION_OUT,0.0,True,
MIN_TTL,64.0,False,
MAX_TTL,64.0,False,
LONGEST_FLOW_PKT,100.0,True,
SHORTEST_FLOW_PKT,44.0,True,
MIN_IP_PKT_LEN,0.0,True,
MAX_IP_PKT_LEN,100.0,True,
SRC_TO_DST_SECOND_BYTES,1384.0,True,1e+20
DST_TO_SRC_SECOND_BYTES,0.0,True,1e+20
RETRANSMITTED_IN_BYTES,0.0,True,
RETRANSMITTED_IN_PKTS,0.0,True,
RETRANSMITTED_OUT_BYTES,0.0,True,
RETRANSMITTED_OUT_PKTS,0.0,True,
SRC_TO_DST_AVG_THROUGHPUT,520000.0,True,
DST_TO_SRC_AVG_THROUGHPUT,0.0,True,
NUM_PKTS_UP_TO_128_BYTES,2.0,True,
NUM_PKTS_128_TO_256_BYTES,0.0,True,
NUM_PKTS_256_TO_512_BYTES,0.0,True,
NUM_PKTS_512_TO_1024_BYTES,0.0,True,
NUM_PKTS_1024_TO_1514_BYTES,0.0,True,
TCP_WIN_MAX_IN,512.0,False,
TCP_WIN_MAX_OUT,0.0,False,
ICMP_TYPE,0.0,False,
ICMP_IPV4_TYPE,0.0,False,
DNS_QUERY_ID,0.0,False,
DNS_QUERY_TYPE,0.0,False,
DNS_TTL_ANSWER,0.0,False,1000000000.0
FTP_COMMAND_RET_CODE,0.0,False,
