Block_1,Block_2,Feature_1,Feature_2,Dependency
13,15,TCP_FLAGS,SERVER_TCP_FLAGS,0.7897721794654142
13,15,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,0.7017337828746046
12,14,SRC_TO_DST_SECOND_BYTES,IN_BYTES,0.6855437257035031
2,3,RETRANSMITTED_IN_BYTES,ICMP_IPV4_TYPE,0.6430133307231178
2,3,RETRANSMITTED_IN_BYTES,ICMP_TYPE,0.6430132963925371
13,14,CLIENT_TCP_FLAGS,MAX_IP_PKT_LEN,0.6401153873575791
13,14,CLIENT_TCP_FLAGS,LONGEST_FLOW_PKT,0.6401153873575791
13,15,CLIENT_TCP_FLAGS,TCP_WIN_MAX_OUT,0.6398885854722814
6,15,MIN_IP_PKT_LEN,DST_TO_SRC_SECOND_BYTES,0.63131730839072
15,16,OUT_PKTS,NUM_PKTS_UP_TO_128_BYTES,0.6297067391414024
6,15,MIN_IP_PKT_LEN,OUT_BYTES,0.6288493819109701
14,16,IN_BYTES,IN_PKTS,0.622623812843089
2,3,RETRANSMITTED_IN_PKTS,ICMP_IPV4_TYPE,0.6208238358696522
2,3,RETRANSMITTED_IN_PKTS,ICMP_TYPE,0.6208238038636299
13,14,TCP_FLAGS,LONGEST_FLOW_PKT,0.6169313560186995
13,14,TCP_FLAGS,MAX_IP_PKT_LEN,0.6169313560186995
13,15,TCP_WIN_MAX_IN,SERVER_TCP_FLAGS,0.6149394068470158
14,15,LONGEST_FLOW_PKT,OUT_BYTES,0.6043651146377496
14,15,MAX_IP_PKT_LEN,OUT_BYTES,0.6043651146377496
13,15,TCP_FLAGS,TCP_WIN_MAX_OUT,0.6021402402796773
5,6,DNS_QUERY_TYPE,MIN_IP_PKT_LEN,0.6019333540620109
14,15,MAX_IP_PKT_LEN,DST_TO_SRC_SECOND_BYTES,0.5985377692481035
14,15,LONGEST_FLOW_PKT,DST_TO_SRC_SECOND_BYTES,0.5985377692481035
6,15,MIN_IP_PKT_LEN,DST_TO_SRC_AVG_THROUGHPUT,0.5931074214355251
13,15,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,0.5835533043567083
14,15,MAX_IP_PKT_LEN,DST_TO_SRC_AVG_THROUGHPUT,0.5631560702543524
14,15,LONGEST_FLOW_PKT,DST_TO_SRC_AVG_THROUGHPUT,0.5631560702543524
13,14,TCP_WIN_MAX_IN,LONGEST_FLOW_PKT,0.5547068054438662
13,14,TCP_WIN_MAX_IN,MAX_IP_PKT_LEN,0.5547068054438662
13,14,CLIENT_TCP_FLAGS,IN_BYTES,0.5524580802089656
15,16,TCP_WIN_MAX_OUT,IN_PKTS,0.548116296469279
9,12,DURATION_IN,SRC_TO_DST_SECOND_BYTES,0.5450339900442748
15,16,TCP_WIN_MAX_OUT,NUM_PKTS_UP_TO_128_BYTES,0.5425036697200613
15,16,DST_TO_SRC_SECOND_BYTES,NUM_PKTS_UP_TO_128_BYTES,0.5424091742612378
15,16,SERVER_TCP_FLAGS,NUM_PKTS_UP_TO_128_BYTES,0.5422959967517886
5,6,DNS_QUERY_ID,MIN_IP_PKT_LEN,0.5364385025839973
15,16,OUT_BYTES,NUM_PKTS_UP_TO_128_BYTES,0.5356148201218218
13,15,TCP_FLAGS,OUT_PKTS,0.535502586448367
7,14,SHORTEST_FLOW_PKT,LONGEST_FLOW_PKT,0.5327142388917396
7,14,SHORTEST_FLOW_PKT,MAX_IP_PKT_LEN,0.5327142388917395
13,14,TCP_FLAGS,IN_BYTES,0.5200976574645813
6,15,MIN_IP_PKT_LEN,OUT_PKTS,0.5181116871118144
13,15,CLIENT_TCP_FLAGS,OUT_PKTS,0.5162148873833121
5,6,DNS_TTL_ANSWER,MIN_IP_PKT_LEN,0.5067802337942856
14,15,LONGEST_FLOW_PKT,OUT_PKTS,0.505421936536022
14,15,MAX_IP_PKT_LEN,OUT_PKTS,0.505421936536022
14,15,LONGEST_FLOW_PKT,SERVER_TCP_FLAGS,0.50147900627404
14,15,MAX_IP_PKT_LEN,SERVER_TCP_FLAGS,0.50147900627404
7,14,SHORTEST_FLOW_PKT,SRC_TO_DST_AVG_THROUGHPUT,0.4967049395784237
13,14,PROTOCOL,LONGEST_FLOW_PKT,0.4915916706832757
13,14,PROTOCOL,MAX_IP_PKT_LEN,0.4915916706832757
8,14,NUM_PKTS_128_TO_256_BYTES,IN_BYTES,0.4905507251798636
13,15,TCP_FLAGS,DST_TO_SRC_SECOND_BYTES,0.4892279208543172
12,16,SRC_TO_DST_SECOND_BYTES,IN_PKTS,0.4886291216952451
15,16,SERVER_TCP_FLAGS,IN_PKTS,0.4877647705774795
10,14,L7_PROTO,LONGEST_FLOW_PKT,0.4877306442043995
10,14,L7_PROTO,MAX_IP_PKT_LEN,0.4877306442043995
13,15,TCP_WIN_MAX_IN,OUT_PKTS,0.4874715484049132
13,15,TCP_FLAGS,OUT_BYTES,0.4873903407766982
13,15,CLIENT_TCP_FLAGS,DST_TO_SRC_SECOND_BYTES,0.4873573067267206
8,14,NUM_PKTS_128_TO_256_BYTES,LONGEST_FLOW_PKT,0.4866288277770093
8,14,NUM_PKTS_128_TO_256_BYTES,MAX_IP_PKT_LEN,0.4866288277770093
13,14,CLIENT_TCP_FLAGS,SRC_TO_DST_AVG_THROUGHPUT,0.4864388318573397
13,15,CLIENT_TCP_FLAGS,OUT_BYTES,0.48547308460865
11,16,MAX_TTL,IN_PKTS,0.4787002560798069
11,16,MIN_TTL,IN_PKTS,0.4784378367291005
13,15,TCP_FLAGS,DST_TO_SRC_AVG_THROUGHPUT,0.4784038948574562
9,10,FLOW_DURATION_MILLISECONDS,L7_PROTO,0.4764057791688622
11,14,MAX_TTL,IN_BYTES,0.474802340138315
11,14,MIN_TTL,IN_BYTES,0.4745626086932409
14,15,LONGEST_FLOW_PKT,TCP_WIN_MAX_OUT,0.4736150878175688
14,15,MAX_IP_PKT_LEN,TCP_WIN_MAX_OUT,0.4736150878175688
13,14,TCP_FLAGS,SRC_TO_DST_AVG_THROUGHPUT,0.4712261582908918
15,16,OUT_PKTS,IN_PKTS,0.4685168898784296
9,10,DURATION_IN,L7_PROTO,0.4678266203063665
14,15,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,0.4666309187565761
12,14,SRC_TO_DST_SECOND_BYTES,SRC_TO_DST_AVG_THROUGHPUT,0.4664123215996146
14,15,IN_BYTES,TCP_WIN_MAX_OUT,0.4651451267680037
15,16,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,0.4593887634222077
13,14,TCP_WIN_MAX_IN,IN_BYTES,0.4572336360445218
14,15,IN_BYTES,OUT_BYTES,0.4509221891963301
11,12,MIN_TTL,SRC_TO_DST_SECOND_BYTES,0.4505748395047272
11,12,MAX_TTL,SRC_TO_DST_SECOND_BYTES,0.4505728730893143
13,16,CLIENT_TCP_FLAGS,IN_PKTS,0.4487783875907096
14,15,IN_BYTES,DST_TO_SRC_SECOND_BYTES,0.4471828815479821
13,14,TCP_WIN_MAX_IN,SRC_TO_DST_AVG_THROUGHPUT,0.437439598721953
14,15,IN_BYTES,SERVER_TCP_FLAGS,0.4336352633323039
14,15,IN_BYTES,OUT_PKTS,0.4334824546798673
10,14,L7_PROTO,SRC_TO_DST_AVG_THROUGHPUT,0.4292465978635138
13,14,PROTOCOL,IN_BYTES,0.4285348127383224
8,12,NUM_PKTS_128_TO_256_BYTES,SRC_TO_DST_SECOND_BYTES,0.4284472289363999
7,14,SHORTEST_FLOW_PKT,IN_BYTES,0.4281981839189179
15,17,TCP_WIN_MAX_OUT,NUM_PKTS_256_TO_512_BYTES,0.4265135531088981
13,16,TCP_FLAGS,NUM_PKTS_UP_TO_128_BYTES,0.4248988868446802
15,17,OUT_PKTS,NUM_PKTS_256_TO_512_BYTES,0.4247138868135449
17,18,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,0.4224793955181363
15,19,OUT_BYTES,NUM_PKTS_1024_TO_1514_BYTES,0.418554664184945
8,14,NUM_PKTS_128_TO_256_BYTES,SRC_TO_DST_AVG_THROUGHPUT,0.4181802446686402
13,16,TCP_FLAGS,IN_PKTS,0.4172739680715764
13,15,CLIENT_TCP_FLAGS,DST_TO_SRC_AVG_THROUGHPUT,0.41721927695779
9,15,DURATION_IN,DST_TO_SRC_AVG_THROUGHPUT,0.4166456815481425
6,7,MIN_IP_PKT_LEN,SHORTEST_FLOW_PKT,0.4154029517373167
15,17,SERVER_TCP_FLAGS,NUM_PKTS_256_TO_512_BYTES,0.4144013934389787
13,15,TCP_WIN_MAX_IN,OUT_BYTES,0.4119669091953403
13,15,TCP_WIN_MAX_IN,DST_TO_SRC_SECOND_BYTES,0.4116095594045925
7,16,SHORTEST_FLOW_PKT,NUM_PKTS_UP_TO_128_BYTES,0.4112876297828002
15,18,TCP_WIN_MAX_OUT,NUM_PKTS_512_TO_1024_BYTES,0.4107595185134566
1,2,RETRANSMITTED_OUT_PKTS,RETRANSMITTED_IN_PKTS,0.4070965318803237
15,19,TCP_WIN_MAX_OUT,NUM_PKTS_1024_TO_1514_BYTES,0.4067983210602242
7,10,SHORTEST_FLOW_PKT,L7_PROTO,0.4064831786509675
