alpha,block_id,block_size,features,mean_within_dependency,min_within_dependency,max_within_dependency
0.2,1,3,DNS_QUERY_ID | DNS_QUERY_TYPE | DNS_TTL_ANSWER,0.8567951377485583,0.8128276599180808,0.9224546669255086
0.2,2,1,PROTOCOL,,,
0.2,3,3,IN_PKTS | MIN_TTL | MAX_TTL,0.7509158748001404,0.626623630991502,0.9989829184615237
0.2,4,2,DURATION_IN | SRC_TO_DST_SECOND_BYTES,0.684495682730343,0.684495682730343,0.684495682730343
0.2,5,2,L7_PROTO | FLOW_DURATION_MILLISECONDS,0.5810598569768515,0.5810598569768515,0.5810598569768515
0.2,6,5,IN_BYTES | LONGEST_FLOW_PKT | MAX_IP_PKT_LEN | SRC_TO_DST_AVG_THROUGHPUT | NUM_PKTS_128_TO_256_BYTES,0.6844109195847422,0.5129551477276332,1.0
0.2,7,1,SHORTEST_FLOW_PKT,,,
0.2,8,5,TCP_FLAGS | CLIENT_TCP_FLAGS | SERVER_TCP_FLAGS | TCP_WIN_MAX_IN | TCP_WIN_MAX_OUT,0.7808979491783945,0.6593665202637311,0.9566837084264537
0.2,9,6,OUT_BYTES | OUT_PKTS | MIN_IP_PKT_LEN | DST_TO_SRC_SECOND_BYTES | DST_TO_SRC_AVG_THROUGHPUT | NUM_PKTS_UP_TO_128_BYTES,0.7586786796860234,0.43087875125719227,0.9673987633611085
0.2,10,2,NUM_PKTS_256_TO_512_BYTES | NUM_PKTS_512_TO_1024_BYTES,0.5672666830741779,0.5672666830741779,0.5672666830741779
0.2,11,1,NUM_PKTS_1024_TO_1514_BYTES,,,
0.2,12,1,DURATION_OUT,,,
0.2,13,2,RETRANSMITTED_OUT_BYTES | RETRANSMITTED_OUT_PKTS,0.9517636674519896,0.9517636674519896,0.9517636674519896
0.2,14,4,RETRANSMITTED_IN_BYTES | RETRANSMITTED_IN_PKTS | ICMP_TYPE | ICMP_IPV4_TYPE,0.890299970306245,0.8451724737567241,0.9999999999855096
0.2,15,1,FTP_COMMAND_RET_CODE,,,
