alpha,k,silhouette,mean_within,mean_between,within_between_ratio,min_block_size,max_block_size,mean_block_size,rank_silhouette,rank_ratio,combined_rank
0.25,20,0.39806095231130395,0.8077128329728811,0.20810050091527116,3.8813593884704014,1,5,1.95,3.0,1.0,4.0
0.35,19,0.3852633877692309,0.7696034578065375,0.2001974280369157,3.844222502521987,1,5,2.0526315789473686,4.0,2.0,6.0
0.2,15,0.42619073109552974,0.764368384953699,0.20476718611236458,3.732865599541213,1,6,2.6,1.0,7.0,8.0
0.4,19,0.37418303790970237,0.7533983420388403,0.19669442890241062,3.8302983274256164,1,5,2.0526315789473686,5.0,3.0,8.0
0.3,16,0.3993788112015996,0.7474712573179245,0.20051855741179345,3.727691177145693,1,5,2.4375,2.0,8.0,10.0
0.45,19,0.3630527628972027,0.7371932262711433,0.19338927452444196,3.8119654157861342,1,5,2.0526315789473686,8.0,4.0,12.0
0.65,19,0.36401943051926483,0.6784096363063344,0.18415668014028846,3.683871993074211,1,5,2.0526315789473686,6.0,9.0,15.0
0.55,19,0.3536941457131081,0.7076388749657395,0.18905882152504577,3.7429561300422804,1,5,2.0526315789473686,11.0,6.0,17.0
0.5,19,0.35147844019616503,0.7209881105034459,0.19033697156861765,3.7879561945406137,1,5,2.0526315789473686,12.0,5.0,17.0
0.8,19,0.36326018623440187,0.6639830849238504,0.1825074384668481,3.638115194107339,1,5,2.0526315789473686,7.0,12.0,19.0
0.75,19,0.36287823797441743,0.6700166895120799,0.18300010235099173,3.661291337569839,1,5,2.0526315789473686,9.0,11.0,20.0
0.7,19,0.36053949068234514,0.669714262497163,0.1825888266828572,3.6678819545754866,1,5,2.0526315789473686,10.0,10.0,20.0
0.6,17,0.34386937055707356,0.6503848579045839,0.18152373631969568,3.5829190776413955,1,6,2.2941176470588234,13.0,13.0,26.0
