alpha,k,silhouette,mean_within,mean_between,within_between_ratio,min_block_size,max_block_size
1.0,20,0.3476868028419758,0.6606186619007074,0.18731194073156512,3.526836886749433,1,5
0.9,20,0.3480014392231102,0.6696546152597703,0.19976777073687238,3.352165430838279,1,5
0.8,20,0.33024626547162816,0.6718041169070647,0.2112268761245738,3.180485974288894,1,5
0.7,20,0.32452795014782043,0.6826606131039765,0.2223070772710925,3.0708001809204912,1,5
0.0,20,0.5237762046377861,0.9203694868641942,0.30186086628563186,3.048985773443407,1,5
0.6,20,0.31213561026364584,0.7101919519574504,0.23521092860922846,3.019383309086541,1,5
0.1,20,0.46817427711894805,0.8763311415962189,0.2902448317330843,3.0192825014783136,1,5
0.2,20,0.4235420433868817,0.8393687138791963,0.27915408260021846,3.006829440074037,1,5
0.3,20,0.39030634802474407,0.8036549785815499,0.26800142945222766,2.998696612268647,1,5
0.4,20,0.3647863426998542,0.7685667500434404,0.2568177667623335,2.9926541287725397,1,5
0.5,20,0.3155487227221116,0.7216840611449397,0.24350961159996592,2.963677927960034,1,6
