Block_ID,Block_Size,Mean_Within_Dependency,Min_Within_Dependency,Max_Within_Dependency,Features
1,2,0.8795759937898368,0.8795759937898368,0.8795759937898368,RETRANSMITTED_OUT_BYTES | RETRANSMITTED_OUT_PKTS
2,4,0.7313303067589749,0.6208238038636299,0.9999999999909436,RETRANSMITTED_IN_BYTES | RETRANSMITTED_IN_PKTS | ICMP_TYPE | ICMP_IPV4_TYPE
3,1,,,,FTP_COMMAND_RET_CODE
4,4,0.6420924750609196,0.5067802337942856,0.8149396868340578,MIN_IP_PKT_LEN | DNS_QUERY_ID | DNS_QUERY_TYPE | DNS_TTL_ANSWER
5,1,,,,SHORTEST_FLOW_PKT
6,1,,,,NUM_PKTS_128_TO_256_BYTES
7,2,0.7199321672463641,0.7199321672463641,0.7199321672463641,FLOW_DURATION_MILLISECONDS | DURATION_IN
8,1,,,,L7_PROTO
9,2,0.998213219409266,0.998213219409266,0.998213219409266,MIN_TTL | MAX_TTL
10,1,,,,SRC_TO_DST_SECOND_BYTES
11,4,0.7359036902383735,0.5674062482500839,0.926065464412777,PROTOCOL | TCP_FLAGS | CLIENT_TCP_FLAGS | TCP_WIN_MAX_IN
12,4,0.7200391961269245,0.6332077827591567,1.0,IN_BYTES | LONGEST_FLOW_PKT | MAX_IP_PKT_LEN | SRC_TO_DST_AVG_THROUGHPUT
13,6,0.681127672369088,0.4895122389297595,0.9230017341297224,OUT_BYTES | OUT_PKTS | SERVER_TCP_FLAGS | DST_TO_SRC_SECOND_BYTES | DST_TO_SRC_AVG_THROUGHPUT | TCP_WIN_MAX_OUT
14,2,0.5758962995870478,0.5758962995870478,0.5758962995870478,IN_PKTS | NUM_PKTS_UP_TO_128_BYTES
15,1,,,,NUM_PKTS_256_TO_512_BYTES
16,1,,,,NUM_PKTS_512_TO_1024_BYTES
17,1,,,,NUM_PKTS_1024_TO_1514_BYTES
18,1,,,,DURATION_OUT
