Num_Clusters,Silhouette_Score,Min_Block_Size,Max_Block_Size,Mean_Block_Size
6,0.17377977837240666,1,25,6.5
7,0.23772825663595937,1,19,5.571428571428571
8,0.2796343461207917,1,19,4.875
9,0.27434086031558325,1,16,4.333333333333333
10,0.2724502684027668,1,16,3.9
11,0.2809299526524055,1,16,3.5454545454545454
12,0.26557254545388975,1,16,3.25
13,0.2584256066869779,1,16,3.0
14,0.29846331169317036,1,8,2.7857142857142856
15,0.30405481758710934,1,8,2.6
16,0.3097445107711393,1,8,2.4375
17,0.31470929924353425,1,8,2.2941176470588234
18,0.3488569382601187,1,6,2.1666666666666665
19,0.32583578407417235,1,6,2.0526315789473686
20,0.31554872272211165,1,6,1.95
