Block_ID,Original_Block,Features
1,1,RETRANSMITTED_OUT_BYTES | RETRANSMITTED_OUT_PKTS
2,2,RETRANSMITTED_IN_BYTES | RETRANSMITTED_IN_PKTS
3,2,ICMP_TYPE | ICMP_IPV4_TYPE
4,3,FTP_COMMAND_RET_CODE
5,4,DNS_QUERY_ID | DNS_QUERY_TYPE | DNS_TTL_ANSWER
6,4,MIN_IP_PKT_LEN
7,5,SHORTEST_FLOW_PKT
8,6,NUM_PKTS_128_TO_256_BYTES
9,7,FLOW_DURATION_MILLISECONDS | DURATION_IN
10,8,L7_PROTO
11,9,MIN_TTL | MAX_TTL
12,10,SRC_TO_DST_SECOND_BYTES
13,11,PROTOCOL | TCP_FLAGS | CLIENT_TCP_FLAGS | TCP_WIN_MAX_IN
14,12,IN_BYTES | LONGEST_FLOW_PKT | MAX_IP_PKT_LEN | SRC_TO_DST_AVG_THROUGHPUT
15,13,OUT_BYTES | OUT_PKTS | SERVER_TCP_FLAGS | DST_TO_SRC_SECOND_BYTES | DST_TO_SRC_AVG_THROUGHPUT | TCP_WIN_MAX_OUT
16,14,IN_PKTS | NUM_PKTS_UP_TO_128_BYTES
17,15,NUM_PKTS_256_TO_512_BYTES
18,16,NUM_PKTS_512_TO_1024_BYTES
19,17,NUM_PKTS_1024_TO_1514_BYTES
20,18,DURATION_OUT
