,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE
PROTOCOL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L7_PROTO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5542174704120266,0.4676918088462942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41510736294237555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN_BYTES,0.0,0.0,1.0,0.39712579467897563,0.33718710342017927,0.38595316964646315,0.4239546013690578,0.5181556516951492,0.5131682132133355,0.0,0.18961020777717527,0.0,0.3502635329733953,0.3501696141141048,0.5075516495559232,0.6026433745178155,0.0,0.5075516495559232,0.165889994613862,0.3357471353363031,0.0,0.0,0.0,0.0,0.4709573759951172,0.2799551410634721,0.22431131201989973,0.42035450610008196,0.2591366259354291,0.0,0.0,0.5854188174600603,0.41376868331936634,0.0,0.0,0.0,0.0,0.0,0.0
IN_PKTS,0.0,0.0,0.39712579467897563,1.0,0.3154921754528741,0.338205870116494,0.36219347105607524,0.37455724557912284,0.22791485610208148,0.0,0.19634052422731,0.0,0.47343304110135687,0.47322076378705275,0.2959042864101745,0.0,0.0,0.2959042864101745,0.28263394512905626,0.3167937454554338,0.0,0.0,0.0,0.0,0.20881215066481615,0.31236073987490387,0.2780631943820151,0.25641876039907696,0.3945941623331093,0.0,0.0,0.2734666052357252,0.3136326537741315,0.0,0.0,0.0,0.0,0.0,0.0
OUT_BYTES,0.0,0.0,0.33718710342017927,0.3154921754528741,1.0,0.8082032243137739,0.5681258536563738,0.5792602010060733,0.7197142385322861,0.0,0.0,0.0,0.0,0.0,0.5917351244712752,0.3298147890533264,0.4651682927292871,0.5917351244712752,0.0,0.8228463034814824,0.0,0.0,0.0,0.0,0.2796786632753133,0.813694881473525,0.6619308396402277,0.3221333753379097,0.28689680394351597,0.0,0.0,0.6148866803221968,0.676207554953809,0.0,0.0,0.13926969538636483,0.14523421565076877,0.1394413849408113,0.0
OUT_PKTS,0.0,0.0,0.38595316964646315,0.338205870116494,0.8082032243137739,1.0,0.7194685627167012,0.5665659737762376,0.8168924031993583,0.0,0.0,0.0,0.0,0.0,0.6886131454168781,0.286660023866934,0.43381765150762275,0.6886131454168781,0.0,0.8101794158082009,0.0,0.0,0.0,0.0,0.3306987445617271,0.7911475124926197,0.6142528600605807,0.27998368820195835,0.29719773307011776,0.0,0.0,0.6118462697240042,0.7754871487909416,0.0,0.0,0.12147663184222736,0.12667912639974355,0.12162638637955717,0.0
TCP_FLAGS,0.0,0.0,0.4239546013690578,0.36219347105607524,0.5681258536563738,0.7194685627167012,1.0,0.7074636814836939,0.7130223107718305,0.0,0.0,0.0,0.10187334767010489,0.10190869868360847,0.7489179093350984,0.35604079722016657,0.3002556384681063,0.7489179093350984,0.15951012005848633,0.5663753001623781,0.0,0.0,0.0,0.0,0.5848747470381855,0.6763376071185697,0.5543951939074836,0.4924636338165,0.305178147903125,0.0,0.0,0.7383409981302408,0.7669682043324652,0.0,0.0,0.0,0.0,0.0,0.0
CLIENT_TCP_FLAGS,0.0,0.0,0.5181556516951492,0.37455724557912284,0.5792602010060733,0.5665659737762376,0.7074636814836939,1.0,0.6122964566179733,0.0,0.0,0.0,0.11237919445161028,0.11241819109314055,0.7102158586277282,0.5141643420558913,0.09572189254598813,0.7102158586277282,0.17595984827258873,0.5776877471034858,0.0,0.0,0.0,0.0,0.452955985313888,0.4820861085371888,0.3691424780036599,0.5316185600739342,0.3315376968255238,0.0,0.0,0.7526368601045621,0.636090699380993,0.0,0.0,0.0,0.0,0.0,0.0
SERVER_TCP_FLAGS,0.0,0.0,0.5131682132133355,0.22791485610208148,0.7197142385322861,0.8168924031993583,0.7130223107718305,0.6122964566179733,1.0,0.0,0.0,0.0,0.09932805757961373,0.09937494973647254,0.7170622820679254,0.2730553250707739,0.4818180539153047,0.7170622820679254,0.11088495002974524,0.719489555501208,0.0,0.0,0.0,0.0,0.3503458730803642,0.6496422699102723,0.6618842635992566,0.26669584396598,0.32729665886940995,0.0,0.0,0.6726625321031527,0.8367578595911721,0.0,0.0,0.0,0.0,0.0,0.0
FLOW_DURATION_MILLISECONDS,0.0,0.5542174704120266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.295514735533023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4725437050260693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
