threshold,component,size,features,mean_first_order_within,min_first_order_within
0.85,1,1,PROTOCOL,,
0.85,2,1,L7_PROTO,,
0.85,3,19,IN_BYTES | IN_PKTS | OUT_BYTES | OUT_PKTS | TCP_FLAGS | CLIENT_TCP_FLAGS | SERVER_TCP_FLAGS | DURATION_OUT | LONGEST_FLOW_PKT | MAX_IP_PKT_LEN | DST_TO_SRC_SECOND_BYTES | SRC_TO_DST_AVG_THROUGHPUT | DST_TO_SRC_AVG_THROUGHPUT | NUM_PKTS_UP_TO_128_BYTES | NUM_PKTS_256_TO_512_BYTES | NUM_PKTS_512_TO_1024_BYTES | NUM_PKTS_1024_TO_1514_BYTES | TCP_WIN_MAX_IN | TCP_WIN_MAX_OUT,0.48395921271278053,0.0
0.85,4,1,FLOW_DURATION_MILLISECONDS,,
0.85,5,1,DURATION_IN,,
0.85,6,1,MIN_TTL,,
0.85,7,1,MAX_TTL,,
0.85,8,1,SHORTEST_FLOW_PKT,,
0.85,9,1,MIN_IP_PKT_LEN,,
0.85,10,1,SRC_TO_DST_SECOND_BYTES,,
0.85,11,1,RETRANSMITTED_IN_BYTES,,
0.85,12,1,RETRANSMITTED_IN_PKTS,,
0.85,13,1,RETRANSMITTED_OUT_BYTES,,
0.85,14,1,RETRANSMITTED_OUT_PKTS,,
0.85,15,1,NUM_PKTS_128_TO_256_BYTES,,
0.85,16,1,ICMP_TYPE,,
0.85,17,1,ICMP_IPV4_TYPE,,
0.85,18,1,DNS_QUERY_ID,,
0.85,19,1,DNS_QUERY_TYPE,,
0.85,20,1,DNS_TTL_ANSWER,,
0.85,21,1,FTP_COMMAND_RET_CODE,,
0.88,1,1,PROTOCOL,,
0.88,2,1,L7_PROTO,,
0.88,3,19,IN_BYTES | IN_PKTS | OUT_BYTES | OUT_PKTS | TCP_FLAGS | CLIENT_TCP_FLAGS | SERVER_TCP_FLAGS | DURATION_OUT | LONGEST_FLOW_PKT | MAX_IP_PKT_LEN | DST_TO_SRC_SECOND_BYTES | SRC_TO_DST_AVG_THROUGHPUT | DST_TO_SRC_AVG_THROUGHPUT | NUM_PKTS_UP_TO_128_BYTES | NUM_PKTS_256_TO_512_BYTES | NUM_PKTS_512_TO_1024_BYTES | NUM_PKTS_1024_TO_1514_BYTES | TCP_WIN_MAX_IN | TCP_WIN_MAX_OUT,0.48395921271278053,0.0
0.88,4,1,FLOW_DURATION_MILLISECONDS,,
0.88,5,1,DURATION_IN,,
0.88,6,1,MIN_TTL,,
0.88,7,1,MAX_TTL,,
0.88,8,1,SHORTEST_FLOW_PKT,,
0.88,9,1,MIN_IP_PKT_LEN,,
0.88,10,1,SRC_TO_DST_SECOND_BYTES,,
0.88,11,1,RETRANSMITTED_IN_BYTES,,
0.88,12,1,RETRANSMITTED_IN_PKTS,,
0.88,13,1,RETRANSMITTED_OUT_BYTES,,
0.88,14,1,RETRANSMITTED_OUT_PKTS,,
0.88,15,1,NUM_PKTS_128_TO_256_BYTES,,
0.88,16,1,ICMP_TYPE,,
0.88,17,1,ICMP_IPV4_TYPE,,
0.88,18,1,DNS_QUERY_ID,,
0.88,19,1,DNS_QUERY_TYPE,,
0.88,20,1,DNS_TTL_ANSWER,,
0.88,21,1,FTP_COMMAND_RET_CODE,,
0.9,1,1,PROTOCOL,,
0.9,2,1,L7_PROTO,,
0.9,3,1,IN_BYTES,,
0.9,4,1,IN_PKTS,,
0.9,5,1,OUT_BYTES,,
0.9,6,10,OUT_PKTS | TCP_FLAGS | CLIENT_TCP_FLAGS | SERVER_TCP_FLAGS | NUM_PKTS_UP_TO_128_BYTES | NUM_PKTS_256_TO_512_BYTES | NUM_PKTS_512_TO_1024_BYTES | NUM_PKTS_1024_TO_1514_BYTES | TCP_WIN_MAX_IN | TCP_WIN_MAX_OUT,0.5264689267209106,0.320436907307414
0.9,7,1,FLOW_DURATION_MILLISECONDS,,
0.9,8,1,DURATION_IN,,
0.9,9,1,DURATION_OUT,,
0.9,10,1,MIN_TTL,,
0.9,11,1,MAX_TTL,,
0.9,12,3,LONGEST_FLOW_PKT | MAX_IP_PKT_LEN | SRC_TO_DST_AVG_THROUGHPUT,0.7855295257809144,0.6782942886713716
0.9,13,1,SHORTEST_FLOW_PKT,,
0.9,14,1,MIN_IP_PKT_LEN,,
0.9,15,1,SRC_TO_DST_SECOND_BYTES,,
0.9,16,1,DST_TO_SRC_SECOND_BYTES,,
0.9,17,1,RETRANSMITTED_IN_BYTES,,
0.9,18,1,RETRANSMITTED_IN_PKTS,,
0.9,19,1,RETRANSMITTED_OUT_BYTES,,
0.9,20,1,RETRANSMITTED_OUT_PKTS,,
0.9,21,1,DST_TO_SRC_AVG_THROUGHPUT,,
0.9,22,1,NUM_PKTS_128_TO_256_BYTES,,
0.9,23,1,ICMP_TYPE,,
0.9,24,1,ICMP_IPV4_TYPE,,
0.9,25,1,DNS_QUERY_ID,,
0.9,26,1,DNS_QUERY_TYPE,,
0.9,27,1,DNS_TTL_ANSWER,,
0.9,28,1,FTP_COMMAND_RET_CODE,,
0.91,1,1,PROTOCOL,,
0.91,2,1,L7_PROTO,,
0.91,3,1,IN_BYTES,,
0.91,4,1,IN_PKTS,,
0.91,5,1,OUT_BYTES,,
0.91,6,10,OUT_PKTS | TCP_FLAGS | CLIENT_TCP_FLAGS | SERVER_TCP_FLAGS | NUM_PKTS_UP_TO_128_BYTES | NUM_PKTS_256_TO_512_BYTES | NUM_PKTS_512_TO_1024_BYTES | NUM_PKTS_1024_TO_1514_BYTES | TCP_WIN_MAX_IN | TCP_WIN_MAX_OUT,0.5264689267209106,0.320436907307414
0.91,7,1,FLOW_DURATION_MILLISECONDS,,
0.91,8,1,DURATION_IN,,
0.91,9,1,DURATION_OUT,,
0.91,10,1,MIN_TTL,,
0.91,11,1,MAX_TTL,,
0.91,12,1,LONGEST_FLOW_PKT,,
0.91,13,1,SHORTEST_FLOW_PKT,,
0.91,14,1,MIN_IP_PKT_LEN,,
0.91,15,1,MAX_IP_PKT_LEN,,
0.91,16,1,SRC_TO_DST_SECOND_BYTES,,
0.91,17,1,DST_TO_SRC_SECOND_BYTES,,
0.91,18,1,RETRANSMITTED_IN_BYTES,,
0.91,19,1,RETRANSMITTED_IN_PKTS,,
0.91,20,1,RETRANSMITTED_OUT_BYTES,,
0.91,21,1,RETRANSMITTED_OUT_PKTS,,
0.91,22,1,SRC_TO_DST_AVG_THROUGHPUT,,
0.91,23,1,DST_TO_SRC_AVG_THROUGHPUT,,
0.91,24,1,NUM_PKTS_128_TO_256_BYTES,,
0.91,25,1,ICMP_TYPE,,
0.91,26,1,ICMP_IPV4_TYPE,,
0.91,27,1,DNS_QUERY_ID,,
0.91,28,1,DNS_QUERY_TYPE,,
0.91,29,1,DNS_TTL_ANSWER,,
