,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE
PROTOCOL,1.0,0.3645368841004911,0.4285348127383224,0.18477615569877534,0.17222698757308463,0.20204996535094094,0.7374324516678032,0.7562970420170538,0.37739945016968285,0.12172341280899747,0.09072298389817565,0.14132148136504236,0.06890473306566448,0.06923798523881577,0.49159167068327575,0.32777631185918243,0.12250724111159891,0.49159167068327575,0.21630456454292624,0.17536289003962863,0.16678395317806538,0.16474835752614858,0.10270451067334171,0.10129632786295723,0.3972321834450253,0.161588151389717,0.18997520731282583,0.3258364084968757,0.17795113935712048,0.17187111951838577,0.1709987419466809,0.5674062482500839,0.3021975608772277,0.187160492041265,0.18716047909697664,0.3640676277942304,0.38515656259387065,0.33435922235933296,0.03891709277395685
L7_PROTO,0.3645368841004911,1.0,0.25360053186088066,0.19485967933653459,0.31997362925134093,0.2933472985884265,0.341345663429323,0.32055507861890326,0.21910487848892118,0.4764057791688622,0.46782662030636657,0.05337393013280088,0.3613223838597716,0.36139215763510757,0.4877306442043995,0.40648317865096756,0.34469312702534877,0.4877306442043995,0.40364169738718414,0.32071564578531075,0.04059218344773824,0.04598873490857902,0.0959677608479372,0.09785247685273309,0.4292465978635138,0.3524899460695672,0.13485416998276026,0.19648219895614252,0.08677012097139737,0.08509212905050575,0.13294587709803204,0.28609919599139794,0.13988104666355272,0.07318607491733559,0.07318605889566672,0.27694941913233395,0.28926583586843446,0.24604187839108552,0.037230573179530754
IN_BYTES,0.4285348127383224,0.25360053186088066,1.0,0.622623812843089,0.45092218919633015,0.4334824546798673,0.5200976574645813,0.5524580802089656,0.43363526333230396,0.15610155440288875,0.2030554076876057,0.18330774712682368,0.47456260869324096,0.474802340138315,0.6945188575540434,0.42819818391891795,0.3166990454831002,0.6945188575540434,0.6855437257035031,0.44718288154798214,0.2560574922320226,0.24848726678656877,0.1992509677726485,0.19601238699626833,0.6332077827591567,0.40016455852266863,0.38095760753019525,0.4905507251798636,0.34574100027715016,0.316021755250072,0.3322775455442156,0.4572336360445218,0.4651451267680037,0.2517352705365655,0.2517352744216808,0.17196747460389206,0.2029880295823448,0.15042578252244743,0.051917589710012126
IN_PKTS,0.18477615569877534,0.19485967933653459,0.622623812843089,1.0,0.3691410156952196,0.46851688987842965,0.4172739680715764,0.44877838759070965,0.4877647705774795,0.18347208901232792,0.16804909694785677,0.22602537434142916,0.4784378367291005,0.4787002560798069,0.35830706991458294,0.16587187310301574,0.07849832132137799,0.35830706991458294,0.4886291216952451,0.36226248671721484,0.25746335486195426,0.25496635059332334,0.24548558324440228,0.24204899748576847,0.2735314815085411,0.2727981927463436,0.5758962995870478,0.2403977537974705,0.3849341055292872,0.34914284363202674,0.36641668187409665,0.3877279912448204,0.548116296469279,0.19235878498549558,0.19235880209514786,0.26058618211955875,0.2673053291473557,0.2391400104222537,0.07684624851339932
OUT_BYTES,0.17222698757308463,0.31997362925134093,0.45092218919633015,0.3691410156952196,1.0,0.750269584446692,0.4873903407766982,0.48547308460865,0.6230901456486663,0.25879050173325,0.3850202089029654,0.25075995879043345,0.21818327604024684,0.21847602108999264,0.6043651146377496,0.1731906871829392,0.6288493819109701,0.6043651146377496,0.2857579087264731,0.9230017341297225,0.12165665787618467,0.11693074350991658,0.24134067738192563,0.2333692454450605,0.4027297258212015,0.8052565030124719,0.5356148201218218,0.1053761332108149,0.3928372534074388,0.36278987490474784,0.418554664184945,0.41196690919534035,0.5927765973275487,0.07917256524699036,0.07917260513418115,0.2779364182926863,0.3122230769290766,0.2744340873091822,0.0830754610849834
OUT_PKTS,0.20204996535094094,0.2933472985884265,0.4334824546798673,0.46851688987842965,0.750269584446692,1.0,0.535502586448367,0.5162148873833121,0.679898356922269,0.22164842834292736,0.3506934786848744,0.2865196873662765,0.21673544349398477,0.2170389771365977,0.505421936536022,0.10917652756590036,0.5181116871118144,0.505421936536022,0.25432485576145225,0.7427575872871246,0.1772579685789088,0.17538288042662883,0.28487545511273926,0.28205297887411174,0.36020391782645134,0.6398211766063042,0.6297067391414024,0.0950728845088421,0.42471388681354494,0.3784056391532979,0.4013597126267203,0.4874715484049132,0.6263005258672183,0.10085986101929165,0.10085990283640203,0.13944021890566058,0.14470605954347482,0.13912693259779543,0.10051973478146585
TCP_FLAGS,0.7374324516678032,0.341345663429323,0.5200976574645813,0.4172739680715764,0.4873903407766982,0.535502586448367,1.0,0.926065464412777,0.7897721794654142,0.17399848195147558,0.21821766351979655,0.248256393122398,0.2683012978213426,0.26859314832676534,0.6169313560186995,0.2975590816928702,0.2704659162028827,0.6169313560186995,0.22835475228113636,0.4892279208543172,0.1820393258483204,0.18013573363028174,0.19598938195315652,0.19604087082819238,0.47122615829089187,0.47840389485745627,0.42489888684468025,0.30160659571595294,0.35626418427261186,0.33770470521758317,0.3363562447117275,0.7090146164300803,0.6021402402796773,0.1737235460208178,0.17372358610503183,0.2894007918353032,0.30226327830678823,0.2658477702392266,0.10393709778121249
CLIENT_TCP_FLAGS,0.7562970420170538,0.32055507861890326,0.5524580802089656,0.44877838759070965,0.48547308460865,0.5162148873833121,0.926065464412777,1.0,0.7017337828746046,0.1548737563305518,0.19423720336259068,0.2610166461269825,0.2804076587693176,0.2808442033390667,0.6401153873575791,0.2900804680154,0.24279747930820356,0.6401153873575791,0.26323899122054434,0.4873573067267206,0.19784473805689468,0.19568092162348977,0.19753513457901847,0.19858342340619722,0.4864388318573397,0.41721927695779004,0.3933536191651618,0.3085134933606315,0.36481963430675646,0.3454339387254992,0.3509326187392428,0.7192063186524429,0.6398885854722814,0.18612410169445698,0.18612414250109935,0.295233988205163,0.30866813780977836,0.27120193401510717,0.10686568675670063
SERVER_TCP_FLAGS,0.37739945016968285,0.21910487848892118,0.43363526333230396,0.4877647705774795,0.6230901456486663,0.679898356922269,0.7897721794654142,0.7017337828746046,1.0,0.1464667379668511,0.26604816911123763,0.28239904020374756,0.3024006529665784,0.3027922141839001,0.50147900627404,0.20108013707414546,0.35998683507912915,0.50147900627404,0.19018001597183914,0.6242139372343075,0.14085774061446948,0.13930098440768457,0.228463036312809,0.2286703890389339,0.34877114549362653,0.6155779488706643,0.5422959967517886,0.13002946767375775,0.41440139343897875,0.3823029821648391,0.3885008393915359,0.6149394068470158,0.700012943700195,0.09575981147573384,0.09575985281585961,0.1675074842017699,0.17347777312278423,0.1541968728319386,0.11823580190422302
FLOW_DURATION_MILLISECONDS,0.12172341280899747,0.4764057791688622,0.15610155440288875,0.18347208901232792,0.25879050173325,0.22164842834292736,0.17399848195147558,0.1548737563305518,0.1464667379668511,1.0,0.7199321672463641,0.30962340205470373,0.31901886890831843,0.3189263962639157,0.2679602275482821,0.21341842684310486,0.2708344315880562,0.2679602275482821,0.3609499915158838,0.2564383748594177,0.02359698035854178,0.023905316725958976,0.0521958941011221,0.05210356002044385,0.401708795034903,0.3300994685522585,0.09549581151195058,0.07665827215217991,0.05924255695175229,0.056657820986056845,0.11210638010491213,0.1936817474548525,0.10285533611370473,0.04330087349121784,0.04330088201683567,0.2407532430205661,0.24982029166934544,0.22211295130110992,0.03581744861521965
