feature,count,missing,nonfinite,negative,min,max,q01,q05,q25,q50,q75,q90,q95,q97_5,q99,q99_9,mean,std
PROTOCOL,53192767,0,0,0,0.0,255.0,6.0,6.0,6.0,6.0,17.0,17.0,17.0,17.0,17.0,17.0,10.2729,5.606842747036874
L7_PROTO,53192767,0,0,0,0.0,248.0,0.0,0.0,0.0,7.0,92.0,188.0,188.0,188.0,188.0,188.0,53.43860451,78.9623833571957
IN_BYTES,53192767,0,0,0,1.0,301926201.0,40.0,44.0,56.0,112.0,280.0,1384.0,1958.0,2986.0499999999884,4499.049999999974,37424.00600000002,910.59388,38695.491348650765
IN_PKTS,53192767,0,0,0,1.0,469281.0,1.0,1.0,1.0,2.0,3.0,9.0,14.0,24.0,51.00999999999476,336.0020000000077,12.48915,778.0514022879707
OUT_BYTES,53192767,0,0,0,0.0,218515340.0,0.0,0.0,0.0,0.0,156.0,1873.0,3760.0,6142.024999999994,20787.389999999796,546781.2280000048,3953.74362,330284.9696377117
OUT_PKTS,53192767,0,0,0,0.0,368914.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,24.0,46.0,438.0,3.94338,35.039983935150424
TCP_FLAGS,53192767,0,0,0,0.0,223.0,0.0,0.0,0.0,2.0,22.0,30.0,219.0,222.0,223.0,223.0,24.07411,58.34590437818151
CLIENT_TCP_FLAGS,53192767,0,0,0,0.0,223.0,0.0,0.0,0.0,2.0,6.0,30.0,219.0,222.0,222.0,223.0,22.36948,58.87721872277596
SERVER_TCP_FLAGS,53192767,0,0,0,0.0,223.0,0.0,0.0,0.0,0.0,20.0,27.0,27.0,90.0,94.0,95.0,9.55955,18.214760876758714
FLOW_DURATION_MILLISECONDS,53192767,0,0,0,0.0,4294967.0,0.0,0.0,0.0,4293061.0,4294029.0,4294561.0,4294905.0,4294951.0,4294952.0,4294964.0,2320073.2429,2139994.9797756053
DURATION_IN,53192767,0,0,0,0.0,119574.0,0.0,0.0,0.0,29.0,1047.0,1500.0,1812.0,2016.0,2190.0199999999895,2375.0,534.28386,908.8421199875701
DURATION_OUT,53192767,0,0,0,0.0,119558.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,187.0,421.00999999999476,1719.0,14.13811,100.77663983100399
MIN_TTL,53192767,0,0,0,0.0,255.0,0.0,0.0,0.0,64.0,64.0,105.0,128.0,128.0,128.0,254.0,53.57804,39.58546412205369
MAX_TTL,53192767,0,0,0,0.0,255.0,0.0,0.0,0.0,64.0,64.0,105.0,128.0,128.0,128.0,254.0,53.59275,39.71002338752144
LONGEST_FLOW_PKT,53192767,0,0,0,28.0,65535.0,28.0,28.0,40.0,100.0,140.0,1189.0,1470.0,1500.0,1500.0,1500.0,263.73676,425.32388036025253
SHORTEST_FLOW_PKT,53192767,0,0,0,28.0,3990.0,28.0,28.0,40.0,44.0,69.0,140.0,140.0,140.0,140.0,328.0,62.80184,45.9978637831628
MIN_IP_PKT_LEN,53192767,0,0,0,0.0,804.0,0.0,0.0,0.0,0.0,40.0,64.0,69.0,73.0,79.0,106.0,23.64209,26.918330751216725
